id,label,timeset,morder,myear,mcost,mgross,mprofit,mtomatometer,maudience,aname,atwitter,afacebook,type,role,rank
211,Jessica Jones,,15,2015,0,0,0,0,0,Krysten Ritter,0,0,actor,defender,26
212,Jiaying,,7,2013,0,0,0,0,0,Dichen Lachman,0,0,actor,support,9
213,Jim Morita,,4,2011,0,0,0,0,0,Kenneth Choi,0,0,actor,support,11
214,Jimmy,,0,2008,0,0,0,0,0,Kevin Foster,0,0,actor,support,10
215,Joan Rivers,,6,2013,0,0,0,0,0,Joan Rivers,0,0,actor,support,10
216,Joey Gutierrez,,7,2013,0,0,0,0,0,Juan Pablo Raba,0,0,actor,support,6
217,Johann Schmidt / Red Skull,,4,2011,0,0,0,0,0,Hugo Weaving,0,0,actor,villain,10
218,John Garrett,,7,2013,0,0,0,0,0,Bill Paxton,0,0,actor,support,6
219,Joseph Manfredi,,11,2015,0,0,0,0,0,Ken Marino,0,0,actor,support,5
220,Justin Hammer,,2,2010,0,0,0,0,0,Sam Rockwell,0,0,actor,support,10
221,Kara Lynn Palamas,,7,2013,0,0,0,0,0,Maya Stojan,0,0,actor,support,8
222,Karen Page,,12,2015,0,0,0,0,0,Deborah Ann Woll,0,0,actor,undefined,26
223,Kebo,,7,2013,0,0,0,0,0,Daz Crawford,0,0,actor,support,5
224,Kenneth Turgeon,,7,2013,0,0,0,0,0,Adam Kulbersh,0,0,actor,support,2
225,Kilgrave,,15,2015,0,0,0,0,0,David Tennant,0,0,actor,villain,11
226,King Laufey,,3,2011,0,0,0,0,0,Colm Feore,0,0,actor,villain,10
227,King T'Chaka,,16,2016,0,0,0,0,0,John Kani,0,0,actor,undefined,10
228,Korath,,10,2014,0,0,0,0,0,Djimon Hounsou,0,0,actor,support,10
229,Kraglin,,10,2014,0,0,0,0,0,Sean Gunn,0,0,actor,support,10
230,Kurt,,14,2015,0,0,0,0,0,David Dastmalchian,0,0,actor,support,10
231,Lady Sif,,3,2011,0,0,0,0,0,Jaimie Alexander,0,0,actor,undefined,22
232,Lance Hunter,,7,2013,0,0,0,0,0,Nick Blood,0,0,actor,support,35
233,Lash,,7,2013,0,0,0,0,0,Matthew Willig,0,0,actor,support,5
234,Laura Barton,,13,2015,0,0,0,0,0,Linda Cardellini,0,0,actor,support,10
235,Leet Brannis,,11,2015,0,0,0,0,0,James Frain,0,0,actor,support,2
236,Leland Owlsley,,12,2015,0,0,0,0,0,Bob Gunton,0,0,actor,villain,9
237,Leo Fitz,,7,2013,0,0,0,0,0,Iain De Caestecker,0,0,actor,shield,66
238,Leonard,,1,2008,0,0,0,0,0,Ty Burrell,0,0,actor,support,10
239,Lian May,,7,2013,0,0,0,0,0,Tsai Chin,0,0,actor,support,1
240,Lincoln Campbell,,7,2013,0,0,0,0,0,Luke Mitchell,0,0,actor,support,29
241,Loki,,3,2011,0,0,0,0,0,Tom Hiddleston,0,0,actor,villain,30
242,Lorelei,,7,2013,0,0,0,0,0,Elena Satine,0,0,actor,support,2
243,Loretta Dooley,,11,2015,0,0,0,0,0,Sarah Bloom,0,0,actor,support,1
244,Louise Thompson,,15,2015,0,0,0,0,0,Lisa Emery,0,0,actor,support,4
245,Luis,,14,2015,0,0,0,0,0,Michael Peña,0,0,actor,support,10
246,Luke Cage,,15,2015,0,0,0,0,0,Mike Colter,0,0,actor,defender,7
247,Luther Banks,,7,2013,0,0,0,0,0,Andrew Howard,0,0,actor,support,6
248,Madame Gao,,12,2015,0,0,0,0,0,Wai Ching Ho,0,0,actor,villain,6
249,Maggie Lang,,14,2015,0,0,0,0,0,Judy Greer,0,0,actor,support,10
250,Major Allen,,0,2008,0,0,0,0,0,Tim Guinee,0,0,actor,support,20
251,Major Kathleen Sparr,,1,2008,0,0,0,0,0,Christina Cabot,0,0,actor,support,10
252,Malcolm Ducasse,,15,2015,0,0,0,0,0,Eka Darville,0,0,actor,support,12
253,Malekith,,8,2013,0,0,0,0,0,Christopher Eccleston,0,0,actor,villain,10
254,Marcel,,12,2015,0,0,0,0,0,Alexander Blaise,0,0,actor,support,1
255,Marci Stahl,,12,2015,0,0,0,0,0,Amy Rutberg,0,0,actor,support,6
256,Marcus Daniels,,7,2013,0,0,0,0,0,Patrick Brennan,0,0,actor,support,2
257,Marcus Scarlotti,,7,2013,0,0,0,0,0,Falk Hentschel,0,0,actor,support,1
258,Marlene Fisk,,12,2015,0,0,0,0,0,Angela Reed,0,0,actor,support,1
259,Marta,,7,2013,0,0,0,0,0,Alison White,0,0,actor,support,1
260,Matt Murdock / Daredevil,,12,2015,0,0,0,0,0,Charlie Cox,0,0,actor,defender,26
261,May Parker,,16,2016,0,0,0,0,0,Marisa Tomei,0,0,actor,undefined,10
262,Maya Hansen,,6,2013,0,0,0,0,0,Rebecca Hall,0,0,actor,support,10
263,McGee,,1,2008,0,0,0,0,0,Nicholas Rose,0,0,actor,support,10
264,Melvin Potter,,12,2015,0,0,0,0,0,Matt Gerald,0,0,actor,support,6
265,Meredith Quill,,10,2014,0,0,0,0,0,Laura Haddock,0,0,actor,support,10
266,Michael Carter,,11,2015,0,0,0,0,0,Max Brown,0,0,actor,support,2
267,Mike Peterson,,7,2013,0,0,0,0,0,J. August Richards,0,0,actor,support,11
268,Miles Van Ert,,11,2015,0,0,0,0,0,James Urbaniak,0,0,actor,support,2
269,Miriam,,16,2016,0,0,0,0,0,Alfre Woodard,0,0,actor,support,10
270,Miriam Fry,,11,2015,0,0,0,0,0,Meagen Fay,0,0,actor,support,4
271,Mitchell Carson,,14,2015,0,0,0,0,0,Martin Donovan,0,0,actor,support,10
