order,movie,year,actor,character,rank
7,Agentes da S.H.I.E.L.D.,2013,Dylan Minnette,Donnie Gill,2
7,Agentes da S.H.I.E.L.D.,2013,Ron Glass,Dr. Streiten,2
7,Agentes da S.H.I.E.L.D.,2013,Hayley Atwell,Peggy Carter,2
7,Agentes da S.H.I.E.L.D.,2013,Samuel L. Jackson,Nick Fury,2
7,Agentes da S.H.I.E.L.D.,2013,Lucy Lawless,Isabelle 'Izzy' Hartley,2
7,Agentes da S.H.I.E.L.D.,2013,Kirk Acevedo,Agent Calderon,2
7,Agentes da S.H.I.E.L.D.,2013,Glenn Morshower,General Jacobs,2
7,Agentes da S.H.I.E.L.D.,2013,Bethany Joy Lenz,Stephanie Malick,2
7,Agentes da S.H.I.E.L.D.,2013,Dillon Casey,Will Daniels,2
7,Agentes da S.H.I.E.L.D.,2013,Tim DeKay,Christian Ward,2
7,Agentes da S.H.I.E.L.D.,2013,Brian Van Holt,Sebastian Derik,2
7,Agentes da S.H.I.E.L.D.,2013,Adam Kulbersh,Kenneth Turgeon,2
7,Agentes da S.H.I.E.L.D.,2013,Wilmer Calderon,Idaho,2
7,Agentes da S.H.I.E.L.D.,2013,Pascale Armand,Akela Amador,1
7,Agentes da S.H.I.E.L.D.,2013,Leonor Varela,Camilla Reyes,1
7,Agentes da S.H.I.E.L.D.,2013,Louis Ozawa Changchien,Chan Ho Yin,1
7,Agentes da S.H.I.E.L.D.,2013,Ian Hart,Dr. Franklin Hall,1
7,Agentes da S.H.I.E.L.D.,2013,Laura Seay,Hannah,1
7,Agentes da S.H.I.E.L.D.,2013,Amy Acker,Audrey Nathan,1
7,Agentes da S.H.I.E.L.D.,2013,Trenton Rogers,Young Grant Ward,1
7,Agentes da S.H.I.E.L.D.,2013,Alison White,Marta,1
7,Agentes da S.H.I.E.L.D.,2013,Emily Baldoni,Sofia,1
7,Agentes da S.H.I.E.L.D.,2013,Neal McDonough,Dum Dum Dugan,1
7,Agentes da S.H.I.E.L.D.,2013,Tzi Ma,Agent Kwan,1
7,Agentes da S.H.I.E.L.D.,2013,Tsai Chin,Lian May,1
7,Agentes da S.H.I.E.L.D.,2013,Gaius Charles,Ruben Mackenzie,1
7,Agentes da S.H.I.E.L.D.,2013,Stan Lee,Debonair Gentleman,1
7,Agentes da S.H.I.E.L.D.,2013,Austin Lyon,Teenage Grant Ward,1
7,Agentes da S.H.I.E.L.D.,2013,Justin Morck,Watchdog Alpha,1
7,Agentes da S.H.I.E.L.D.,2013,Brad Dourif,Thomas Nash,1
7,Agentes da S.H.I.E.L.D.,2013,Falk Hentschel,Marcus Scarlotti,1
7,Agentes da S.H.I.E.L.D.,2013,Michael J. Silver,Alpha,1
7,Agentes da S.H.I.E.L.D.,2013,Felisha Terrell,Emily Deville,1
7,Agentes da S.H.I.E.L.D.,2013,Carolina Espiro,Waitress,1
7,Agentes da S.H.I.E.L.D.,2013,Brittnee Garza,Cashier,1
7,Agentes da S.H.I.E.L.D.,2013,Roberto Medina,Bishop,1
7,Agentes da S.H.I.E.L.D.,2013,Cameron Palatas,Young Gideon Malick,1
7,Agentes da S.H.I.E.L.D.,2013,Dan Sachoff,Reporter #1,1
7,Agentes da S.H.I.E.L.D.,2013,Melanie Cruz,Agent Noelle Walters,1
7,Agentes da S.H.I.E.L.D.,2013,Hunter Seagroves,Hydra Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Jack Guzman,S.H.I.E.L.D. Agent #1,1
7,Agentes da S.H.I.E.L.D.,2013,Arlene Santana,Reporter #2,1
7,Agentes da S.H.I.E.L.D.,2013,Craig Baxley Jr.,Hydra Soldier #3,1
7,Agentes da S.H.I.E.L.D.,2013,Kenneth Choi,Jim Morita,1
7,Agentes da S.H.I.E.L.D.,2013,Kyle Clements,S.H.I.E.L.D. Agent #2,1
7,Agentes da S.H.I.E.L.D.,2013,Garrett Hines,Hydra Soldier,1
7,Agentes da S.H.I.E.L.D.,2013,Kathryn Leigh Scott,The Baroness,1
7,Agentes da S.H.I.E.L.D.,2013,Jay Montalvo,Reporter,1
7,Agentes da S.H.I.E.L.D.,2013,Matt Ferrucci,S.H.I.E.L.D. Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Staci Roberts Steele,Paula,1
7,Agentes da S.H.I.E.L.D.,2013,Julia Aks,Waitress,1
7,Agentes da S.H.I.E.L.D.,2013,Melissa Bickerton,Ellen King,1
7,Agentes da S.H.I.E.L.D.,2013,Anthony Corrales,S.H.I.E.L.D. Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Katie Hilliard,Tina Adams,1
7,Agentes da S.H.I.E.L.D.,2013,Philip Labes,Young Gordon,1
7,Agentes da S.H.I.E.L.D.,2013,Crystal Coney,Scientist,1
7,Agentes da S.H.I.E.L.D.,2013,Kacey Montoya,Reporter,1
7,Agentes da S.H.I.E.L.D.,2013,Alexander Leeb,Hydra Scientist,1
7,Agentes da S.H.I.E.L.D.,2013,McKay Stewart,Scientist #1,1
7,Agentes da S.H.I.E.L.D.,2013,David A. Jansen,S.H.I.E.L.D. Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Viking Almquist,Masked Man,1
7,Agentes da S.H.I.E.L.D.,2013,Luis Castilleja,Shield Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Elmer Törnquist,Masked Man,1
7,Agentes da S.H.I.E.L.D.,2013,Alice Chen,S.H.I.E.L.D. Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Mandell Frazier,Hydra Agent,1
7,Agentes da S.H.I.E.L.D.,2013,Sun Jae Kim,Scientist,1
7,Agentes da S.H.I.E.L.D.,2013,Kai Valerius,S.H.I.E.L.D. Agent,1
8,Thor: O Mundo Sombrio,2013,Chris Hemsworth,Thor,10
8,Thor: O Mundo Sombrio,2013,Natalie Portman,Jane Foster,10
8,Thor: O Mundo Sombrio,2013,Tom Hiddleston,Loki,10
8,Thor: O Mundo Sombrio,2013,Anthony Hopkins,Odin,10
8,Thor: O Mundo Sombrio,2013,Christopher Eccleston,Malekith,10
8,Thor: O Mundo Sombrio,2013,Jaimie Alexander,Sif,10
8,Thor: O Mundo Sombrio,2013,Zachary Levi,Fandral,10
8,Thor: O Mundo Sombrio,2013,Ray Stevenson,Volstagg,10
8,Thor: O Mundo Sombrio,2013,Tadanobu Asano,Hogun,10
8,Thor: O Mundo Sombrio,2013,Idris Elba,Heimdall,10
8,Thor: O Mundo Sombrio,2013,Rene Russo,Frigga,10
8,Thor: O Mundo Sombrio,2013,Adewale Akinnuoye-Agbaje,Algrim,10
8,Thor: O Mundo Sombrio,2013,Kat Dennings,Darcy Lewis,10
8,Thor: O Mundo Sombrio,2013,Stellan Skarsgård,Erik Selvig,10
8,Thor: O Mundo Sombrio,2013,Alice Krige,Eir,10
8,Thor: O Mundo Sombrio,2013,Clive Russell,Tyr,10
8,Thor: O Mundo Sombrio,2013,Jonathan Howard,Ian Boothby,10
8,Thor: O Mundo Sombrio,2013,Chris O'Dowd,Richard,10
8,Thor: O Mundo Sombrio,2013,Stan Lee,Stan Lee,10
8,Thor: O Mundo Sombrio,2013,Tony Curran,Bor,10
8,Thor: O Mundo Sombrio,2013,Benicio Del Toro,The Collector,10
8,Thor: O Mundo Sombrio,2013,Chris Evans,Loki as Captain America,10
8,Thor: O Mundo Sombrio,2013,Ophelia Lovibond,Carina,10
9,Capitão América 2: O Soldado Invernal,2014,Chris Evans,Steve Rogers,10
9,Capitão América 2: O Soldado Invernal,2014,Samuel L. Jackson,Nick Fury,10
9,Capitão América 2: O Soldado Invernal,2014,Scarlett Johansson,Natasha Romanoff,10
9,Capitão América 2: O Soldado Invernal,2014,Robert Redford,Alexander Pierce,10
9,Capitão América 2: O Soldado Invernal,2014,Sebastian Stan,Bucky Barnes,10
9,Capitão América 2: O Soldado Invernal,2014,Anthony Mackie,Sam Wilson,10
9,Capitão América 2: O Soldado Invernal,2014,Cobie Smulders,Maria Hill,10
9,Capitão América 2: O Soldado Invernal,2014,Frank Grillo,Brock Rumlow,10
9,Capitão América 2: O Soldado Invernal,2014,Maximiliano Hernández,Jasper Sitwell,10
9,Capitão América 2: O Soldado Invernal,2014,Emily VanCamp,Agent 13,10
9,Capitão América 2: O Soldado Invernal,2014,Hayley Atwell,Peggy Carter,10
9,Capitão América 2: O Soldado Invernal,2014,Toby Jones,Dr. Arnim Zola,10
9,Capitão América 2: O Soldado Invernal,2014,Stan Lee,Smithsonian Guard,10
9,Capitão América 2: O Soldado Invernal,2014,Callan Mulvey,Jack Rollins,10
9,Capitão América 2: O Soldado Invernal,2014,Jenny Agutter,Councilwoman Hawley,10
9,Capitão América 2: O Soldado Invernal,2014,Garry Shandling,Senator Stern,10
9,Capitão América 2: O Soldado Invernal,2014,Georges St-Pierre,Georges Batroc,10
9,Capitão América 2: O Soldado Invernal,2014,Christopher George Sarris,Skinny Steve,10
9,Capitão América 2: O Soldado Invernal,2014,Evan Parke,SHIELD Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Davis Aguila,SHIELD Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Dean Barlage,SHIELD Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Dyrell Barnett,SHIELD Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,J. Blakemore,Shield Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Colin Botts,DC Pedestrian,10
9,Capitão América 2: O Soldado Invernal,2014,Ken Bray,Smithsonian Guard,10
9,Capitão América 2: O Soldado Invernal,2014,Brittany Buck,Mall Patron,10
9,Capitão América 2: O Soldado Invernal,2014,Jeremy Michael Burns,SHIELD Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Travis Allen Bush,SHIELD Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Jose W. Byers,SHIELD Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Ulysses E. Campbell,DC Businessman,10
9,Capitão América 2: O Soldado Invernal,2014,Sandhya Chandel,SHIELD Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Giles Clarke,Shield Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,Daniel Clifford,Shield Strike Agent,10
9,Capitão América 2: O Soldado Invernal,2014,David Cohen,DC Businessman,10
